parent_gallery_name,parent_gallery_item_id,photo_set_name,photo_set_slug,photo_count,photo_names,photo_item_ids,source_values,grouping_source,grouping_confidence,is_singleton,warnings
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Rita of Cascia,saint-rita-of-cascia,1,SAINT RITA OF CASCIA,6a679b9555b8941c6fdbfc75,god-saint-rita-of-cascia,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Rose of Lima,saint-rose-of-lima,2,SAINT ROSE OF LIMA,6a679c4eefbaeffca00fa04c | 6a679c5278a10dded9123d72,f-god-saint-rose-of-lima | god-saint-rose-of-lima-2,CMS Name,high,false,truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Therese,saint-therese,1,SAINT THERESE,6a679c2c2ab6542afae67880,men-of-god-saint-therese,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Therese of Lisieux,saint-therese-of-lisieux,1,SAINT THERESE OF LISIEUX,6a679bc86bb5de7ea7179b03,saint-therese-of-lisieux,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Saints Paul and Peter,saints-paul-and-peter,1,SAINTS PAUL AND PETER,6a679bb180246716181108d6,od-saints-paul-and-peter,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Agustin,san-agustin,1,SAN AGUSTIN,6a679c35b33f1426ff2884ff,women-of-god-san-agustin,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Antonio,san-antonio,1,SAN ANTONIO,6a679c6847694145669ce483,women-of-god-san-antonio,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Antonio De Padua,san-antonio-de-padua,3,SAN ANTONIO DE PADUA,6a679bcd7887d4eb8fb3f861 | 6a679be92ab6542afae6684c | 6a679c1a6bb5de7ea717dfad,d-san-antonio-de-padua-2 | d-san-antonio-de-padua-3 | god-san-antonio-de-padua,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Damaso,san-damaso,1,SAN DAMASO,6a679ccaca704d21d808ee49,women-of-god-san-damaso,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Fernando Rey (Processional Image),san-fernando-rey-processional-image,1,SAN FERNANDO REY (PROCESSIONAL IMAGE),6a679c62bded1ae16ef71dc2,o-rey-processional-image,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Gregorio (Bisita Patron),san-gregorio-bisita-patron,1,SAN GREGORIO (BISITA PATRON),6a679bfc9e9b3c4d1d715c3b,n-gregorio-bisita-patron,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Gregorio Magno,san-gregorio-magno,2,SAN GREGORIO MAGNO,6a679bf978a10dded9122d17 | 6a679c0b8acb3b3a1417f289,f-god-san-gregorio-magno | god-san-gregorio-magno-2,CMS Name,high,false,truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Guillermo,san-guillermo,2,SAN GUILLERMO,6a679c4047694145669cda63 | 6a679c4388153d547cf70841,men-of-god-san-guillermo | n-of-god-san-guillermo-2,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Guillermo Processional Image (Original),san-guillermo-processional-image-original,1,SAN GUILLERMO PROCESSIONAL IMAGE (ORIGINAL),6a679cef0c02f7b16f390b5e,cessional-image-original,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Isidro,san-isidro,1,SAN ISIDRO,6a679bf188153d547cf6e61f,women-of-god-san-isidro,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
